Kitchen schedule for 5-2020
Name,Room,Day
Anna,27-30,2020-05-01
Biff,1-6 20,2020-05-02
Biff,1-6 20,2020-05-03
Chad,12-17 3,2020-05-04
Anna,27-30,2020-05-05
Biff,1-6 20,2020-05-06
Chad,12-17 3,2020-05-07
Anna,27-30,2020-05-08
Biff,1-6 20,2020-05-09
Biff,1-6 20,2020-05-10
Chad,12-17 3,2020-05-11
Anna,27-30,2020-05-12
Biff,1-6 20,2020-05-13
Chad,12-17 3,2020-05-14
Anna,27-30,2020-05-15
Biff,1-6 20,2020-05-16
Biff,1-6 20,2020-05-17
Chad,12-17 3,2020-05-18
Anna,27-30,2020-05-19
Biff,1-6 20,2020-05-20
Chad,12-17 3,2020-05-21
Anna,27-30,2020-05-22
Biff,1-6 20,2020-05-23
Biff,1-6 20,2020-05-24
Chad,12-17 3,2020-05-25
Anna,27-30,2020-05-26
Biff,1-6 20,2020-05-27
Chad,12-17 3,2020-05-28
Anna,27-30,2020-05-29
Biff,1-6 20,2020-05-30
Biff,1-6 20,2020-05-31
